username,tweet_text
Vision4theBlind@Vision4theBlind·2h,"BBC News:

""Insects on the menu in Italy"""
BBC News (World)@BBCWorld·2h,"Milan Kundera, author of The Unbearable Lightness of Being, dies aged 94"
Theta York@ThetaYork1·4h,Just fuck off!!!  #itvnews #bbcnews #skynews
BBC News (UK)@BBCNews·3h,"The Hobbit first edition found in charity shop sells for £10,000"
Reuters@Reuters·22m,"The crisis at Britain's BBC deepens, with more allegations against a top presenter. BBC News said it had been contacted by a second young person in their early twenties who said they had been approached by the presenter on a dating app https://reut.rs/43kYuw3"
Political B @p_beejal·6h,"The BBC presenter facing allegations broke Covid lockdown rules to meet a young person despite BBC news presenter Huw Edwards repeatedly telling the nation how dangerous the 'virus' was. 

Well, whoever it is probably thought the Covid narrative is a load of nonsense!"
BBC News Africa@BBCAfrica·4h,"South Africa  has been named the best country to visit.

Readers surveyed by the UK's Telegraph newspaper say it is the world's best tourist destination.

Find out why here  https://bbc.in/3D9No2j"
BBC News (UK)@BBCNews·3h,"New town ""with no heart"" built without shops, cafes and GP surgery"
Jonathan Greatorex@greatorex·7h,"Just wait until those tourists are fined for driving at 22MPH. . . 

Tourism: Wales fails to attract overseas visitors, say MPs - BBC News"
BBC News (World)@BBCWorld·3h,"President Zelensky has criticised Nato for what he sees as delays in setting out Ukraine's membership timeline 

When could Ukraine join the military alliance? "
Jim Ferguson@JimFergusonUK·6h,EXCLUSIVE: BBC News star Huw Edwards is the BBC Presenter at centre of £35k sex pic allegations - Politicalite. #UK #HuwEdwards
BBC News (World)@BBCWorld·1h,US inflation at slowest rate in more than two years
@KTParker@mastodon.online @lunaperla·7h,"Dear .@BBCNews 

Has #BorisJohnson handed his phone in yet?

No? Then he is in contempt of court.

I don't want to hear another word abt a #bbcpresenter who may have behaved unwisely, but WHO HAS NOT BROKEN THE LAW.

Give us news on Johnson, #NATOSummit, #CostOfLivingCrisis etc."
BBC News NI@BBCNewsNI·3h,Police are investigating a hate crime after a car belonging to an @AontuIE party member was set alight in Newry
 Win for our children's future @Win_Li1·21h,"Enough with all these dead cat media stories of BBC news presenters and could give a f*ck coverage about orange confetti or another Johnson sprog.

Just where the f*ck is Johnson's phone, and will he face any consequences for jerking the #CovidInquiry around?

#BorisJohnsonphone"
Bob@bobrmitchell·22h,"Andrew Marr is right, it’s almost as though the BBC News presenter story was manufactured to hide….
-Government have failed to deliver the WhatsApp messages as instructed
-The mortgage rate has hit a 5 year high
-There are 3 by-elections next week."
India Willoughby@IndiaWilloughby·3h,I know you are busy @BBCNews @BBCSport but why are you still employing Sharron Davies and Martina Navratilova? Caster Semenya is a woman. Fact. Yet your two presenters are allowed to be transphobic. Can you explain?
